,Chargers,Battery capacity,Wind CAPEX,PV CAPEX,Battery CAPEX,Chargers CAPEX,Total CAPEX,Wind OPEX,PV OPEX,Battery OPEX,Total OPEX,Charging sales,Consumption sales,Grid sales/cost,Yearly income,Yearly net icome,Payback period [PBY],Internal Rate of Return [IRR],Service coverage on yearly basis,Amount of passenger kilometers covered,E-mobility covered,Times earth circumnavigated by EVs,Underloaded hours,Underload percent of time,Total energy underload,Underload percentage of energy,Yearly grid import,Yearly grid export,Yearly curtailed energy,Curtailed percentage
0,1,0.0,1680.0,720.0,0.0,65.0,2465.0,7.2,6.0,0.0,13.2,237.99720000000002,6.000000359999999,6.010884824448647,250.00808518444867,236.80808518444866,10.409272969206366,0.09606818871580067,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,143.00711548418488,955.4709703988703,1014.7275582684479,38.044931197635925
0,1,100.0,1680.0,720.0,28.000000000000004,65.0,2493.0,7.2,6.0,0.8,14.0,237.99720000000002,6.000000359999999,10.329357870808634,254.32655823080864,240.32655823080864,10.373385356793289,0.09640054481781334,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,101.48916533263349,920.6201414955127,1008.0422234359404,37.79427958020088
0,1,200.0,1680.0,720.0,56.00000000000001,65.0,2521.0,7.2,6.0,1.6,14.8,237.99720000000002,6.000000359999999,13.025666967261843,257.02286732726185,242.22286732726187,10.407770446354817,0.0960820576466727,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,75.95599056243644,900.8066315026558,1002.2925586586002,37.57870881041056
0,1,300.0,1680.0,720.0,84.00000000000001,65.0,2549.0,7.2,6.0,2.4,15.6,237.99720000000002,6.000000359999999,15.047527010173937,259.044727370174,243.44472737017395,10.47054921885441,0.09550597386040563,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,56.9899984943578,886.8510728787464,997.252125214431,37.38972907685832
0,1,400.0,1680.0,720.0,112.00000000000001,65.0,2577.0,7.2,6.0,3.2,16.4,237.99720000000002,6.000000359999999,16.751704663289264,260.7489050232893,244.3489050232893,10.54639471273416,0.09481913272149371,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,41.44500220125439,877.2931975378425,991.2350042622314,37.164130638372114
0,1,500.0,1680.0,720.0,140.0,65.0,2605.0,7.2,6.0,4.0,17.2,237.99720000000002,6.000000359999999,18.13248816941501,262.12968852941503,244.92968852941502,10.635705355445918,0.09402291306311518,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,29.106566675509825,870.8323601541495,985.3274061201802,36.94263851171583
0,1,600.0,1680.0,720.0,168.00000000000003,65.0,2633.0,7.2,6.0,4.8,18.0,237.99720000000002,6.000000359999999,19.211551706599515,263.2087520665996,245.20875206659954,10.737789649877048,0.09312903610581069,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,19.46182454267265,865.771190977344,980.7138331641484,36.769662953638914
0,1,700.0,1680.0,720.0,196.00000000000003,65.0,2661.0,7.2,6.0,5.6,18.8,237.99720000000002,6.000000359999999,20.014537326712325,264.01173768671237,245.21173768671235,10.851845939772057,0.09215022085182727,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,12.06496712678644,860.9063287024252,978.1518380231807,36.67360669886141
0,1,800.0,1680.0,720.0,224.00000000000003,65.0,2689.0,7.2,6.0,6.4,19.6,237.99720000000002,6.000000359999999,20.569459963480078,264.5666603234801,244.96666032348008,10.977003958208671,0.09109953898232803,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,7.084965062257438,858.2032238504902,975.8449408105869,36.587114768078614
0,1,900.0,1680.0,720.0,252.00000000000003,65.0,2717.0,7.2,6.0,7.2,20.4,237.99720000000002,6.000000359999999,20.93280541270336,264.9300057727034,244.5300057727034,11.111110848807316,0.09000000212466079,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,3.9593802506453386,857.1091177613612,973.7834620881039,36.509824252488315
0,1,1000.0,1680.0,720.0,280.0,65.0,2745.0,7.2,6.0,8.0,21.2,237.99720000000002,6.000000359999999,21.127661979386723,265.1248623393867,243.92486233938672,11.253465406001638,0.0888615163349314,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,2.2844608462143206,856.5287834065404,972.6588770384935,36.46766046134094
0,1,1100.0,1680.0,720.0,308.00000000000006,65.0,2773.0,7.2,6.0,8.8,22.0,237.99720000000002,6.000000359999999,21.22083689906575,265.2180372590658,243.21803725906577,11.401292565511147,0.08770935350128589,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,1.4638070957301137,856.1525114412805,972.1844952532691,36.44987458154176
0,1,1200.0,1680.0,720.0,336.00000000000006,65.0,2801.0,7.2,6.0,9.6,22.8,237.99720000000002,6.000000359999999,21.28555160385075,265.2827519638507,242.48275196385075,11.551337063419554,0.08657006496388817,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,0.9006253043748218,855.9251906759039,971.8186342272905,36.43615744392405
0,1,1300.0,1680.0,720.0,364.00000000000006,65.0,2829.0,7.2,6.0,10.4,23.6,237.99720000000002,6.000000359999999,21.338508545097753,265.3357089050978,241.7357089050978,11.70286348183101,0.0854491724655701,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,0.43696977439877216,855.725190675904,971.5249786973144,36.42514748923946
0,1,1400.0,1680.0,720.0,392.00000000000006,65.0,2857.0,7.2,6.0,11.2,24.4,237.99720000000002,6.000000359999999,21.37467935022969,265.3718797102297,240.9718797102297,11.856155180577758,0.08434437511733626,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,0.12158108092271588,855.595079413801,971.3097012659412,36.41707614536172
0,1,1500.0,1680.0,720.0,420.00000000000006,65.0,2885.0,7.2,6.0,12.0,25.2,237.99720000000002,6.000000359999999,21.38467935022969,265.38187971022967,240.1818797102297,12.011730458103845,0.0832519513726966,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,0.02158108092271589,855.495079413801,971.2797012659413,36.415951362727576
0,1,1600.0,1680.0,720.0,448.00000000000006,65.0,2913.0,7.2,6.0,12.8,26.0,237.99720000000002,6.000000359999999,21.386344529517874,265.3835448895179,239.38354488951788,12.168756216491113,0.08217766731531681,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,0.0,855.4537811807149,971.2694184181048,36.41556583043838
0,1,1700.0,1680.0,720.0,476.00000000000006,65.0,2941.0,7.2,6.0,13.6,26.8,237.99720000000002,6.000000359999999,21.385594529517874,265.38279488951787,238.58279488951788,12.326957613862762,0.0811230176434947,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,0.0,855.423781180715,971.2694184181048,36.41556583043838
