T2m,WS10m
2.83,3.66
2.31,3.81
1.78,3.97
1.26,4.12
1.42,4.5
1.59,4.88
1.76,5.26
1.78,5.1
1.81,4.94
1.83,4.79
1.83,4.68
1.83,4.57
1.83,4.47
1.77,4.58
1.7,4.69
1.64,4.8
1.69,4.77
1.75,4.74
1.8,4.7
2.13,4.34
2.46,3.98
2.79,3.61
2.88,3.63
2.97,3.64
3.05,3.66
2.89,3.03
2.74,2.4
2.58,1.77
2.44,2.15
2.3,2.54
2.17,2.92
2.05,2.5
1.94,2.07
1.82,1.64
1.35,1.68
0.88,1.72
0.4,1.77
0.29,1.45
0.18,1.13
0.07,0.81
0.08,0.61
0.1,0.4
0.11,0.19
0.89,0.32
1.67,0.45
2.45,0.58
2.63,0.91
2.81,1.23
2.98,1.56
2.55,1.5
2.12,1.45
1.69,1.39
1.51,1.54
1.34,1.69
1.17,1.83
0.96,1.71
0.75,1.59
0.54,1.46
0.07,1.19
-0.4,0.92
-0.88,0.65
-0.87,0.81
-0.87,0.97
-0.86,1.13
-0.62,1.19
-0.38,1.24
-0.14,1.3
0.96,1.32
2.06,1.35
3.16,1.38
3.03,1.27
2.9,1.16
2.76,1.05
1.41,1.2
0.06,1.36
-1.29,1.52
-1.43,1.4
-1.56,1.29
-1.69,1.17
-1.89,1.46
-2.08,1.75
-2.27,2.04
-2,2.32
-1.73,2.59
-1.46,2.87
-1.68,2.83
-1.91,2.8
-2.14,2.76
-1.92,3.02
-1.7,3.27
-1.48,3.53
-0.34,3.6
0.81,3.67
1.95,3.74
1.83,3.64
1.71,3.54
1.58,3.43
0.65,3.37
-0.28,3.31
-1.21,3.24
-1.52,3.14
-1.82,3.04
-2.12,2.94
-2.2,2.86
-2.28,2.79
-2.36,2.72
-2.47,2.82
-2.58,2.92
-2.7,3.02
-2.78,3.06
-2.86,3.1
-2.94,3.14
-2.6,3.31
-2.25,3.48
-1.91,3.64
-0.8,3.62
0.3,3.6
1.41,3.59
1.19,3.52
0.97,3.45
0.75,3.38
0.49,3.33
0.22,3.28
-0.04,3.23
-0.14,3.24
-0.24,3.25
-0.34,3.26
-0.37,2.95
-0.39,2.64
-0.41,2.33
-1.4,2.33
-2.38,2.32
-3.37,2.32
-3.66,2.24
-3.95,2.17
-4.24,2.1
-3.79,2.09
-3.33,2.09
-2.88,2.08
-1.46,1.92
-0.05,1.75
1.37,1.59
0.83,1.37
0.29,1.14
-0.25,0.92
-0.63,1.24
-1,1.56
-1.38,1.88
-1.47,2.28
-1.56,2.68
-1.64,3.08
-1.52,3.5
-1.4,3.92
-1.28,4.34
-1.13,4.63
-0.98,4.91
-0.84,5.2
-0.34,5.28
0.15,5.37
0.64,5.45
1.39,4.9
2.14,4.34
2.89,3.79
3.67,3.7
4.45,3.61
5.23,3.52
5.04,3.52
4.86,3.53
4.67,3.53
3.79,3.78
2.91,4.03
2.03,4.28
1.77,4.32
1.51,4.36
1.25,4.4
1.14,3.7
1.04,3
0.94,2.3
0.97,2.36
1,2.41
1.03,2.47
1.26,2.53
1.49,2.59
1.72,2.65
2.14,2.74
2.56,2.83
2.98,2.92
3.59,2.97
4.19,3.01
4.8,3.05
4.52,2.92
4.24,2.8
3.95,2.68
3.72,2.63
3.48,2.57
3.25,2.52
3.17,2.78
3.1,3.04
3.03,3.3
3.25,3.26
3.47,3.21
3.69,3.17
3.89,3.39
4.09,3.61
4.28,3.83
4.48,3.97
4.67,4.11
4.87,4.25
5.34,4.23
5.81,4.22
6.28,4.21
6.81,4.16
7.33,4.11
7.86,4.06
7.63,4.26
7.41,4.47
7.18,4.68
6.38,4.74
5.57,4.81
4.77,4.88
4.41,4.67
4.05,4.45
3.7,4.23
3.68,3.94
3.67,3.65
3.66,3.35
3.5,3.4
3.35,3.45
3.19,3.5
3.13,3.51
3.06,3.52
2.99,3.53
3.22,3.78
3.44,4.03
3.67,4.28
4.55,4.26
5.44,4.24
6.32,4.22
6,4.04
5.68,3.85
5.36,3.67
4.74,3.46
4.12,3.26
3.5,3.05
3.45,2.8
3.4,2.55
3.36,2.3
3.64,2.8
3.93,3.29
4.21,3.78
4.17,4.01
4.13,4.24
4.08,4.47
4.03,4.9
3.97,5.32
3.92,5.75
4.22,6.3
4.53,6.85
4.83,7.39
5.26,8
5.68,8.6
6.11,9.2
6.47,9.44
6.83,9.69
7.19,9.93
6.02,8.96
4.86,7.99
3.69,7.02
3.17,6.98
2.65,6.95
2.14,6.91
2.17,6.55
2.21,6.18
2.25,5.82
2.24,5.83
2.23,5.83
2.21,5.83
1.88,6.25
1.54,6.67
1.21,7.09
1.43,7.08
1.66,7.06
1.88,7.05
2.63,6.78
3.37,6.51
4.12,6.25
4.07,6.07
4.03,5.9
3.98,5.72
3.53,4.94
3.09,4.16
2.64,3.38
2.39,3.19
2.14,2.99
1.89,2.8
1.43,3.11
0.98,3.42
0.52,3.72
0.28,4.32
0.05,4.91
-0.19,5.5
-0.32,5.06
-0.46,4.62
-0.6,4.18
-0.43,4.09
-0.26,4
-0.09,3.9
1.17,3.97
2.43,4.03
3.69,4.1
3.62,3.63
3.55,3.17
3.47,2.7
2.77,2.9
2.08,3.1
1.38,3.3
1.38,3.49
1.38,3.68
1.39,3.88
1.66,4.16
1.93,4.44
2.2,4.72
2.1,4.3
2,3.89
1.89,3.48
1.73,3.52
1.56,3.56
1.39,3.6
1.53,3.67
1.66,3.75
1.8,3.82
2.38,3.52
2.97,3.22
3.55,2.92
3.42,2.97
3.3,3.03
3.17,3.08
2.1,2.7
1.04,2.32
-0.03,1.94
-0.6,1.9
-1.17,1.86
-1.73,1.82
-1.64,2.06
-1.54,2.31
-1.44,2.55
-0.79,2.6
-0.14,2.65
0.51,2.7
0.54,2.73
0.58,2.76
0.62,2.79
1.02,3.03
1.41,3.26
1.81,3.5
2.69,3.37
3.58,3.25
4.47,3.12
4.43,2.69
4.38,2.26
4.34,1.83
3.8,2.29
3.26,2.74
2.72,3.19
2.45,3.2
2.19,3.21
1.92,3.23
1.82,3.23
1.71,3.24
1.61,3.24
1.45,3.47
1.3,3.7
1.15,3.93
1.09,3.96
1.04,4
0.98,4.03
1.16,4.28
1.34,4.52
1.52,4.77
2.24,4.72
2.97,4.66
3.7,4.61
3.37,4.51
3.04,4.42
2.71,4.33
2.19,3.98
1.67,3.62
1.16,3.27
0.83,3.12
0.5,2.97
0.17,2.83
-0.06,2.73
-0.29,2.63
-0.52,2.52
-0.7,2.6
-0.87,2.68
-1.04,2.76
-1.4,2.77
-1.75,2.79
-2.1,2.8
-1.53,2.71
-0.96,2.62
-0.39,2.52
0.95,2.29
2.3,2.05
3.65,1.81
3.77,1.91
3.88,2.02
4,2.12
2.97,2.13
1.94,2.13
0.92,2.14
0.53,2.33
0.15,2.51
-0.23,2.7
-0.35,2.5
-0.47,2.29
-0.59,2.08
-1.3,1.88
-2.01,1.67
-2.72,1.46
-2.94,1.58
-3.15,1.7
-3.36,1.82
-2.26,1.88
-1.17,1.94
-0.07,2
1.15,1.98
2.37,1.95
3.59,1.93
3.59,2.06
3.6,2.19
3.6,2.32
2.39,2.39
1.19,2.46
-0.01,2.52
-0.67,2.39
-1.33,2.26
-1.99,2.12
-2.56,2.22
-3.12,2.31
-3.69,2.4
-3.81,2.18
-3.93,1.96
-4.04,1.74
-3.98,1.79
-3.91,1.84
-3.84,1.89
-3.01,2.45
-2.18,3
-1.34,3.56
-0.43,3.71
0.49,3.87
1.4,4.03
1.4,4.28
1.41,4.52
1.41,4.77
0.56,4.37
-0.29,3.97
-1.14,3.57
-1.39,3.99
-1.63,4.41
-1.87,4.83
-2.01,4.83
-2.14,4.84
-2.28,4.84
-2.6,4.94
-2.92,5.04
-3.23,5.14
-3.21,5.27
-3.19,5.39
-3.17,5.52
-2.64,5.88
-2.12,6.23
-1.59,6.59
-0.62,6.65
0.36,6.71
1.34,6.77
1.44,6.42
1.55,6.06
1.65,5.71
0.76,5.47
-0.13,5.22
-1.01,4.98
-1.48,4.69
-1.94,4.41
-2.4,4.12
-2.73,3.88
-3.05,3.63
-3.38,3.38
-3.33,3
-3.28,2.62
-3.22,2.23
-3.26,2.12
-3.29,2.01
-3.32,1.9
-2.36,1.64
-1.41,1.38
-0.45,1.12
1.37,1.23
3.2,1.35
