T2m,WS10m
4.51,4.58
3.69,4.17
2.87,3.76
2.05,3.35
1.8,3.6
1.55,3.86
1.3,4.11
1.07,3.82
0.85,3.53
0.63,3.24
0.48,3.15
0.33,3.07
0.18,2.98
1.37,3.32
2.56,3.66
3.76,4
4.85,3.94
5.94,3.87
7.03,3.81
6.6,4.06
6.18,4.3
5.76,4.55
5.34,4.36
4.93,4.17
4.51,3.97
4.32,3.94
4.13,3.92
3.95,3.89
4.06,3.79
4.17,3.7
4.28,3.6
3.55,3.61
2.83,3.62
2.1,3.63
2.25,3.82
2.4,4
2.55,4.19
3.32,4.77
4.08,5.34
4.85,5.92
5.7,5.72
6.56,5.53
7.42,5.34
7.61,5.3
7.81,5.26
8.01,5.21
7.49,4.91
6.97,4.61
6.45,4.3
6.01,4.16
5.57,4.02
5.13,3.88
4.77,3.68
4.41,3.49
4.05,3.3
3.84,2.99
3.63,2.68
3.42,2.37
3.16,2.36
2.89,2.34
2.63,2.33
3.99,2.51
5.35,2.7
6.71,2.88
8.1,2.78
9.5,2.67
10.9,2.57
11.18,2.8
11.46,3.03
11.74,3.27
10.31,2.96
8.88,2.64
7.45,2.33
6.1,2.39
4.75,2.45
3.4,2.51
2.9,2.69
2.41,2.88
1.92,3.06
1.62,2.47
1.33,1.88
1.04,1.28
0.32,1.66
-0.41,2.05
-1.13,2.43
2.07,2.11
5.27,1.78
8.48,1.46
10.42,1.77
12.36,2.09
14.3,2.4
14.68,2.46
15.07,2.52
15.46,2.58
13.43,2.8
11.4,3.01
9.37,3.23
8.29,3.17
7.21,3.11
6.13,3.05
5.61,2.86
5.09,2.67
4.57,2.48
4.12,2.63
3.68,2.78
3.23,2.92
3.22,2.86
3.21,2.79
3.2,2.72
5.18,2.53
7.16,2.34
9.15,2.15
10.52,2.62
11.89,3.08
13.27,3.54
12.78,4.07
12.3,4.59
11.81,5.12
10.28,4.49
8.76,3.86
7.23,3.23
6.67,3.4
6.12,3.57
5.57,3.74
5.53,3.34
5.5,2.95
5.47,2.55
5.31,2.56
5.16,2.57
5.01,2.58
4.95,2.51
4.89,2.44
4.83,2.37
5.56,2.19
6.29,2.01
7.02,1.83
8,1.41
8.99,0.98
9.98,0.55
10.48,1.03
10.99,1.52
11.5,2
10.08,1.81
8.65,1.62
7.23,1.43
6.33,1.59
5.43,1.75
4.53,1.9
4.26,1.52
3.99,1.14
3.72,0.76
3.45,1.16
3.19,1.56
2.92,1.96
2.79,1.77
2.65,1.58
2.52,1.39
3.81,1.27
5.1,1.15
6.4,1.03
7.56,1.17
8.73,1.3
9.9,1.43
9.63,1.17
9.37,0.91
9.11,0.65
7.72,0.81
6.34,0.98
4.95,1.14
4.27,1.5
3.59,1.85
2.91,2.21
3.01,2.09
3.11,1.97
3.22,1.85
3.35,2.4
3.49,2.96
3.63,3.52
4.04,3.71
4.44,3.91
4.85,4.11
5.35,4.68
5.85,5.24
6.36,5.81
6.75,5.38
7.14,4.96
7.53,4.54
7.72,4.92
7.92,5.31
8.11,5.7
7.52,5.54
6.94,5.37
6.35,5.21
6.09,5.35
5.83,5.49
5.57,5.63
5.62,5.3
5.67,4.97
5.72,4.65
5.19,4.8
4.66,4.95
4.13,5.1
3.78,5.25
3.42,5.39
3.07,5.53
3.36,5.33
3.65,5.14
3.95,4.94
4.83,4.39
5.71,3.83
6.59,3.28
7.05,3.19
7.52,3.1
7.99,3.01
6.55,2.88
5.12,2.75
3.68,2.62
2.65,2.66
1.62,2.69
0.59,2.73
0.24,2.73
-0.1,2.73
-0.44,2.73
-0.87,2.53
-1.29,2.33
-1.71,2.12
-1.72,1.96
-1.72,1.8
-1.73,1.64
0.95,1.7
3.63,1.76
6.31,1.82
7.56,2
8.81,2.17
10.07,2.34
9.88,2.57
9.69,2.79
9.5,3.01
8.49,2.57
7.49,2.12
6.48,1.68
5.86,1.74
5.25,1.79
4.64,1.85
4.43,1.42
4.22,0.98
4.01,0.55
2.6,1.35
1.19,2.14
-0.22,2.94
0.05,2.84
0.32,2.74
0.59,2.63
2.6,2.46
4.61,2.29
6.63,2.11
7.67,2.02
8.72,1.94
9.77,1.85
9.88,1.53
10,1.2
10.11,0.88
8.99,0.91
7.87,0.93
6.75,0.95
5.96,1.17
5.17,1.39
4.38,1.61
4.58,1.68
4.78,1.74
4.98,1.81
5.03,2.52
5.08,3.24
5.13,3.96
5.14,3.63
5.16,3.31
5.17,2.98
5.35,2.94
5.53,2.91
5.72,2.87
6.05,2.76
6.38,2.66
6.71,2.55
6.55,2.35
6.4,2.15
6.25,1.94
5.87,2.39
5.49,2.83
5.11,3.27
4.84,3.06
4.57,2.85
4.3,2.63
4.23,2.63
4.16,2.63
4.09,2.62
3.63,2.62
3.17,2.62
2.71,2.62
2.65,2.47
2.58,2.33
2.52,2.18
2.9,2.81
3.28,3.45
3.67,4.08
4.35,4.54
5.04,5
5.73,5.46
5.56,5.5
5.4,5.54
5.24,5.59
5.38,5.36
5.52,5.13
5.66,4.9
5.9,4.74
6.14,4.57
6.38,4.41
6.26,4.26
6.15,4.11
6.04,3.96
5.62,4.25
5.21,4.55
4.8,4.84
4.89,5.06
4.98,5.27
5.07,5.49
5.68,6.3
6.29,7.12
6.9,7.93
7.33,7.94
7.77,7.94
8.21,7.94
8.39,7.52
8.58,7.09
8.76,6.66
7.88,5.68
7.01,4.69
6.13,3.71
4.88,3.16
3.63,2.62
2.39,2.07
1.94,2.26
1.49,2.45
1.04,2.63
1.18,2.44
1.33,2.25
1.47,2.06
1.79,2.16
2.11,2.26
2.43,2.36
4.07,2.93
5.7,3.51
7.34,4.08
7.44,4.58
7.54,5.09
7.64,5.59
8.76,5.68
9.89,5.77
11.02,5.86
10.94,6.18
10.87,6.5
10.79,6.81
10.51,6.77
10.23,6.72
9.96,6.68
10.05,7.1
10.15,7.52
10.25,7.94
9.92,7.91
9.6,7.87
9.28,7.83
8.91,7.6
8.54,7.37
8.17,7.13
8.23,7.46
8.29,7.78
8.35,8.11
8.44,7.99
8.53,7.86
8.62,7.74
8.93,8.57
9.25,9.41
9.57,10.25
9.32,10.79
9.07,11.33
8.82,11.88
8.04,10.36
7.27,8.84
6.5,7.32
6.49,6.87
6.48,6.41
6.48,5.96
6.06,6.3
5.65,6.65
5.23,6.99
5.02,7.12
4.8,7.25
4.59,7.38
5.03,7.76
5.47,8.13
5.91,8.51
6.52,8.95
7.13,9.39
7.75,9.83
7.89,9.27
8.03,8.71
8.17,8.15
7.45,6.69
6.74,5.23
6.02,3.77
6.05,4.23
6.09,4.69
6.13,5.16
6.45,5.48
6.78,5.8
7.11,6.12
8.17,7.67
9.24,9.21
10.3,10.76
9.76,10.87
9.21,10.98
8.67,11.09
8.41,12.16
8.14,13.22
7.88,14.29
8.16,13.59
8.44,12.89
8.72,12.19
8.75,11.5
8.78,10.8
8.81,10.11
8.12,9.63
7.43,9.14
6.74,8.66
6.3,8.42
5.86,8.17
5.42,7.93
5.02,7.67
4.62,7.41
4.22,7.14
3.93,7.33
3.65,7.52
3.36,7.71
3.56,7.2
3.76,6.68
3.96,6.17
4.52,6.6
5.08,7.04
5.63,7.48
6.11,7.66
6.59,7.85
7.07,8.04
7.12,8.34
7.17,8.64
7.22,8.94
6.59,8.05
5.96,7.15
5.33,6.26
5.1,6.46
4.88,6.65
4.65,6.84
4.88,6.7
5.1,6.56
5.32,6.41
5.39,5.99
5.46,5.57
5.53,5.14
5.44,5.42
5.36,5.69
5.27,5.96
5.24,6.77
5.21,7.58
5.17,8.39
5.88,8.27
6.59,8.16
7.29,8.04
7.31,7.75
7.33,7.45
7.34,7.16
6.67,6.22
5.99,5.28
5.32,4.34
4.58,3.99
3.85,3.63
3.11,3.27
2.91,3.12
2.71,2.97
2.51,2.81
1.99,2.63
1.46,2.45
0.94,2.26
1.15,2.02
1.35,1.78
1.56,1.54
3.01,1.58
4.47,1.62
5.92,1.66
6.33,1.77
6.73,1.88
7.13,1.99
7.59,1.84
8.04,1.7
8.49,1.56
7.85,1.32
7.2,1.08
6.55,0.84
5.97,1.21
5.39,1.59
4.81,1.96
4.23,2.13
3.65,2.31
3.06,2.48
3.64,2.76
4.22,3.03
4.8,3.31
4.5,3.56
4.21,3.81
3.91,4.06
4.06,3.71
4.21,3.37
4.36,3.02
5.35,3.68
6.34,4.34
7.32,5.01
7.51,4.98
7.7,4.95
7.88,4.92
7.15,4.48
6.41,4.04
5.67,3.6
4.69,3.36
3.72,3.12
2.74,2.88
2.22,2.6
1.7,2.31
1.18,2.03
0.81,2.15
0.43,2.28
0.06,2.4
0.04,2.11
0.01,1.83
-0.01,1.54
2.31,1.52
4.63,1.49
6.94,1.46
7.82,1.72
8.69,1.99
9.56,2.25
9.59,2.4
9.62,2.54
9.65,2.69
8.54,2.61
7.42,2.53
6.3,2.46
4.87,2.37
3.45,2.28
2.03,2.19
1.62,2.17
1.21,2.16
0.79,2.14
0.98,2.12
1.16,2.11
1.34,2.1
1.84,2.31
2.33,2.52
2.83,2.73
4.34,2.73
5.85,2.73
7.36,2.73
8.02,2.29
8.68,1.85
9.33,1.41
9.95,1.43
10.57,1.46
11.19,1.49
10.51,1.51
9.82,1.54
9.13,1.56
7.24,1.95
5.36,2.35
3.48,2.74
3.5,2.7
3.52,2.66
3.54,2.62
2.18,2.73
0.81,2.83
-0.56,2.94
-0.2,2.58
0.16,2.23
0.52,1.88
3.36,2.06
6.2,2.24
9.03,2.43
9.97,2.76
10.91,3.1
11.84,3.43
11.98,3.6
12.12,3.77
12.25,3.94
11.13,3.42
10,2.9
8.88,2.37
7.55,2.2
6.22,2.03
4.89,1.86
4.66,1.75
4.43,1.64
4.2,1.53
3.83,1.51
3.46,1.49
3.09,1.46
3.21,1.15
3.34,0.85
3.46,0.54
5.15,0.64
6.84,0.74
8.52,0.84
9.54,0.97
10.56,1.11
11.58,1.24
11.94,1.3
12.3,1.35
12.65,1.41
11.66,1.5
10.66,1.6
9.67,1.7
8.38,1.78
7.09,1.87
5.8,1.96
5.55,2.06
5.3,2.17
5.04,2.28
4.94,2.2
4.83,2.13
4.73,2.06
4.77,1.92
4.81,1.79
4.85,1.66
7.07,1.6
9.29,1.54
11.5,1.48
12.85,1.26
14.2,1.03
15.54,0.81
15.84,1.03
16.13,1.26
16.42,1.48
14.87,1.44
13.31,1.41
11.75,1.38
9.99,1.76
8.24,2.14
6.48,2.52
6.58,2.06
6.68,1.59
6.77,1.12
6.2,1.61
5.62,2.1
5.05,2.59
4.9,2.23
4.76,1.86
4.61,1.49
7.34,1.17
10.08,0.86
12.81,0.54
14.54,0.93
16.27,1.33
17.99,1.72
18.46,1.71
18.93,1.7
19.39,1.68
17.79,1.83
16.18,1.99
14.58,2.14
13.35,2.42
12.13,2.71
10.9,2.99
10.94,3.28
10.98,3.57
11.01,3.86
10.93,3.96
10.84,4.06
10.75,4.17
10.87,4.22
10.99,4.28
11.11,4.33
11.68,5.53
12.25,6.73
12.81,7.93
12.6,7.45
12.39,6.97
12.17,6.48
12.38,6.69
12.58,6.91
12.78,7.12
11.47,5.82
10.16,4.52
8.85,3.23
7.53,2.84
6.21,2.45
4.89,2.06
4.49,2.37
4.08,2.68
3.67,2.99
3.95,3
4.23,3.01
4.51,3.02
4.79,3.21
5.07,3.41
5.35,3.6
7.12,3.5
8.89,3.4
10.65,3.3
11.66,3.97
12.67,4.64
13.68,5.31
14.01,5.49
14.34,5.67
14.66,5.85
14.06,5.73
13.46,5.62
12.86,5.5
12.21,5.89
11.57,6.28
10.92,6.66
10.55,6.51
10.17,6.35
9.79,6.19
8.98,5.34
8.16,4.48
7.34,3.63
6.98,3.14
6.61,2.66
6.25,2.18
7.48,2.3
8.71,2.42
9.94,2.54
10.7,2.78
11.46,3.02
12.22,3.26
12.18,3.4
12.14,3.55
12.09,3.7
11.04,3.04
9.98,2.39
8.93,1.74
8.36,1.61
7.8,1.48
7.24,1.35
6.22,1.63
5.19,1.9
4.16,2.18
4.93,2.2
5.69,2.23
6.45,2.25
7.04,2.61
7.63,2.97
8.22,3.34
10.31,3.63
12.4,3.92
14.49,4.21
15.51,4.71
16.53,5.21
17.54,5.71
17.81,5.86
18.07,6.01
18.33,6.17
17.18,5.29
16.03,4.42
14.88,3.54
13.54,3.24
12.2,2.94
10.86,2.63
10.73,2.64
10.59,2.64
10.45,2.65
10.14,2.64
9.83,2.63
9.52,2.62
9.7,2.8
9.87,2.97
10.05,3.14
12.33,3.3
14.61,3.46
16.88,3.61
18.07,4.11
19.25,4.6
20.43,5.09
20.56,4.85
20.69,4.61
20.82,4.37
19.1,3.81
17.38,3.24
15.66,2.68
13.88,2.68
12.1,2.69
10.32,2.69
9.55,2.48
8.77,2.28
7.99,2.07
7.46,2.1
6.92,2.12
6.39,2.15
6.64,2.43
6.9,2.7
7.15,2.98
8.62,2.96
10.09,2.94
11.55,2.92
12.71,3.04
13.86,3.16
15.01,3.28
15.06,3.6
15.1,3.91
15.14,4.22
14.06,3.74
12.97,3.26
11.89,2.79
10.74,3.24
9.59,3.69
8.44,4.14
8,3.93
7.56,3.71
7.12,3.5
6.59,3.41
6.05,3.32
5.52,3.23
5.72,3.3
5.93,3.37
6.13,3.43
7.44,3.69
8.75,3.95
10.06,4.21
10.95,4.31
11.84,4.41
12.73,4.51
12.69,4.58
12.64,4.65
12.59,4.72
11.53,4.57
10.47,4.41
9.41,4.26
8.33,3.98
7.26,3.69
6.18,3.41
5.82,3.12
5.46,2.83
5.1,2.54
4.54,2.38
3.97,2.23
3.4,2.07
3.84,2.35
4.28,2.63
4.72,2.91
6.79,2.99
8.86,3.08
10.92,3.16
11.84,3.49
12.75,3.81
13.66,4.14
13.68,3.94
13.7,3.75
13.71,3.56
12.75,3.04
11.79,2.52
10.83,2
9.42,2.43
8.02,2.86
6.61,3.28
5.95,2.94
5.29,2.59
4.62,2.25
4.07,2.33
3.51,2.4
2.95,2.48
3.41,2.2
3.86,1.92
4.32,1.64
5.88,1.55
7.44,1.46
9,1.37
9.97,1.27
10.93,1.18
11.89,1.09
12.36,1.25
12.83,1.4
13.29,1.56
12.61,1.65
11.93,1.73
11.25,1.82
9.85,2.01
8.46,2.21
7.06,2.4
6.71,2.44
6.35,2.48
5.99,2.52
5.41,2.51
4.82,2.51
4.24,2.5
4.65,2.54
5.06,2.58
5.47,2.62
7.91,2.67
10.35,2.72
12.78,2.77
13.97,2.98
15.16,3.19
16.34,3.39
16.42,3.6
16.49,3.8
16.56,4
15.47,3.44
14.37,2.89
13.28,2.33
11.71,2.36
10.14,2.4
8.57,2.43
7.75,2.36
6.92,2.29
6.09,2.22
5.6,2.27
5.11,2.31
4.62,2.36
5.11,2.38
5.6,2.4
6.09,2.43
8.44,2.11
10.8,1.8
13.15,1.49
14.46,1.86
15.77,2.23
17.07,2.59
16.8,3.26
16.53,3.94
16.25,4.61
14.8,4.39
13.34,4.17
11.89,3.96
10.38,3.75
8.88,3.54
7.37,3.32
6.77,3
6.17,2.67
5.57,2.34
5.23,2.44
4.88,2.54
4.53,2.63
5.14,2.71
5.76,2.79
6.37,2.87
7.78,3.41
9.19,3.95
10.59,4.5
11.7,4.25
12.81,4.01
13.92,3.77
13.82,3.9
13.72,4.04
13.62,4.18
12.88,3.63
12.13,3.09
11.39,2.54
10.17,2.39
8.95,2.23
7.73,2.08
7.29,1.99
6.85,1.9
6.41,1.81
5.61,1.92
4.81,2.03
4.01,2.14
4.5,2.18
5,2.22
5.49,2.26
7.11,1.58
8.73,0.89
10.35,0.21
11.61,0.63
12.87,1.05
14.13,1.48
14.28,1.42
14.42,1.37
14.56,1.31
13.91,1.19
13.26,1.07
12.61,0.95
10.54,0.85
8.47,0.74
6.4,0.63
6.29,1.13
6.18,1.62
6.06,2.11
5.53,2.41
4.99,2.71
4.45,3.01
4.93,2.78
5.41,2.56
5.89,2.33
8.68,2.49
11.47,2.64
14.25,2.8
15.53,3.26
16.81,3.73
18.08,4.19
18.62,4.19
19.16,4.18
19.7,4.18
18.57,3.46
17.44,2.74
16.31,2.01
14.92,1.87
13.53,1.73
12.14,1.59
11.97,1.74
11.8,1.89
11.63,2.04
11.44,2.11
11.25,2.18
11.06,2.25
11.02,2.47
10.98,2.69
10.94,2.91
11.06,3.2
11.18,3.5
11.3,3.79
11.68,3.78
12.06,3.77
12.43,3.75
13.07,3.86
13.7,3.96
14.33,4.07
13.83,3.72
13.32,3.37
12.81,3.02
12.15,2.65
11.5,2.29
10.84,1.92
10.76,2.14
10.67,2.37
10.58,2.59
10.54,2.65
10.49,2.7
10.44,2.76
10.76,3.04
11.09,3.32
11.41,3.6
11.81,3.71
12.21,3.81
12.6,3.92
12.76,3.46
12.92,3
13.08,2.54
13,2.49
12.92,2.44
12.83,2.39
12.17,2.55
11.5,2.72
10.83,2.88
10.05,3.02
9.28,3.16
8.51,3.3
8.31,3.57
8.11,3.84
7.91,4.11
7.36,4.12
6.8,4.13
6.24,4.14
6.34,4.17
6.45,4.21
6.55,4.25
7.82,4.74
9.1,5.24
10.37,5.74
11.1,5.37
11.83,4.99
12.55,4.62
12.42,4.57
12.29,4.52
12.16,4.47
11.23,4.37
10.3,4.27
9.37,4.17
8,3.76
6.63,3.35
5.26,2.94
4.68,2.77
4.09,2.61
3.5,2.44
2.55,2
1.59,1.56
0.63,1.12
1.79,1.54
2.96,1.97
4.12,2.4
5.82,3.15
7.52,3.9
9.22,4.65
9.56,5.26
9.89,5.87
10.22,6.48
10.49,6.46
10.76,6.44
11.02,6.41
10.41,5.43
9.8,4.46
9.19,3.48
7.68,3.34
6.18,3.2
4.68,3.06
4.64,2.81
4.59,2.56
4.54,2.3
4.17,2.33
3.8,2.35
3.43,2.37
4.15,2.69
4.87,3
5.59,3.31
7.48,3.43
9.38,3.55
11.27,3.67
11.78,4.52
12.29,5.37
12.8,6.22
13.12,5.96
13.44,5.7
13.76,5.43
12.97,5
12.17,4.57
11.37,4.14
10.45,3.93
9.54,3.71
8.63,3.5
8.26,3.65
7.89,3.79
7.52,3.93
7.17,3.76
6.81,3.59
6.46,3.42
6.88,3.6
7.29,3.77
7.71,3.94
8.74,4.07
9.78,4.19
10.81,4.32
11.19,4.67
11.57,5.02
11.95,5.37
12.01,5.26
12.06,5.15
12.11,5.05
11.67,4.16
11.23,3.27
10.79,2.39
9.45,2.45
8.11,2.51
6.77,2.58
6.19,2.47
5.61,2.37
5.03,2.26
4.59,2.29
4.14,2.33
3.69,2.36
4.35,2.1
5.01,1.84
5.66,1.59
7.11,1.56
8.55,1.54
10,1.52
10.67,1.47
11.34,1.43
12,1.38
12.22,1.6
12.44,1.81
12.66,2.03
11.99,2.48
11.33,2.93
10.66,3.38
9.91,3.11
9.16,2.84
8.4,2.57
7.9,2.46
7.39,2.34
6.89,2.23
5.94,2.27
4.98,2.31
4.03,2.34
4.63,2.22
5.23,2.1
5.82,1.97
7.68,1.54
9.53,1.1
11.38,0.66
12.13,0.69
12.89,0.73
13.64,0.76
14.04,0.7
14.45,0.64
14.85,0.58
14.38,0.86
13.92,1.14
13.45,1.42
12.57,2.21
11.69,3
10.81,3.79
10.81,3.64
10.8,3.48
10.79,3.32
10.1,3.09
9.42,2.86
8.73,2.62
9.49,2.96
10.26,3.3
11.02,3.64
12.2,3.76
13.37,3.87
14.55,3.99
14.52,4.74
14.5,5.49
14.47,6.23
14.5,5.96
14.52,5.68
14.55,5.41
14.62,5.39
14.7,5.38
14.78,5.37
14.18,5.16
13.58,4.96
12.98,4.76
12.55,4.51
12.11,4.27
11.67,4.03
11.71,3.89
11.75,3.75
11.79,3.61
12.07,3.79
12.36,3.97
12.64,4.15
13.19,4.61
13.73,5.06
14.28,5.52
14.95,5.38
15.62,5.25
16.28,5.12
17.13,4.54
17.98,3.97
18.83,3.39
18.41,2.86
17.99,2.34
17.57,1.81
16.81,2.39
16.06,2.97
15.3,3.56
15.16,4.48
15.02,5.41
14.88,6.33
15.84,6.14
16.81,5.94
17.77,5.75
17.85,5.66
17.93,5.58
18,5.49
18.71,6.24
19.41,7
20.11,7.75
19.29,8.4
18.48,9.04
17.66,9.68
17.33,9.77
16.99,9.85
16.66,9.93
15.98,8.1
15.31,6.26
14.64,4.43
13.96,4.17
13.29,3.91
12.61,3.66
12.47,3.86
12.32,4.06
12.18,4.26
11.94,4.2
11.69,4.13
11.45,4.07
11.58,4.49
11.71,4.91
11.84,5.34
12.55,6.21
13.25,7.09
13.96,7.96
13.91,7.94
13.86,7.92
13.81,7.9
13.7,7.71
13.6,7.51
13.49,7.31
13.33,7.19
13.18,7.07
13.03,6.95
12.52,7.05
12.01,7.15
11.5,7.26
11.25,7.12
11,6.99
10.75,6.86
10.57,6.68
10.4,6.5
10.22,6.32
10.29,6.06
10.36,5.8
10.43,5.54
11.03,5.47
11.62,5.39
12.21,5.31
12.67,4.85
13.13,4.38
13.59,3.92
13.76,4.29
13.94,4.65
14.11,5.02
13.72,3.76
13.34,2.49
12.95,1.23
12.05,1.09
11.15,0.94
10.25,0.8
9.91,1.09
9.57,1.37
9.23,1.66
9.4,1.66
9.57,1.66
9.74,1.66
10.13,1.68
10.53,1.7
10.92,1.72
12.64,1.73
14.35,1.73
16.06,1.74
16.63,1.25
17.21,0.75
17.78,0.26
18.11,0.59
18.43,0.92
18.76,1.26
18.07,1.25
17.38,1.25
16.69,1.24
15.51,1.54
14.33,1.85
13.14,2.15
13.02,2.53
12.9,2.91
12.78,3.28
13.09,3.83
13.41,4.37
13.72,4.91
13.55,5.29
13.39,5.66
13.22,6.04
13.4,6.59
13.57,7.14
13.74,7.68
14.05,7.48
14.36,7.27
14.67,7.06
14.86,7.46
15.04,7.85
15.23,8.25
14.32,7.58
13.42,6.91
12.52,6.23
12,5.73
11.48,5.22
10.95,4.72
10.74,4.15
10.52,3.59
10.3,3.02
9.83,2.75
9.37,2.48
8.9,2.21
9.41,1.97
9.92,1.73
10.43,1.49
11.95,1.4
13.46,1.31
14.98,1.21
15.85,1.32
16.72,1.43
17.59,1.54
18.06,1.77
18.54,2
19.01,2.22
18.6,2
18.19,1.78
17.78,1.56
16.27,1.83
14.76,2.1
13.25,2.37
13.22,2.4
13.18,2.44
13.15,2.47
13,2.48
12.86,2.5
12.71,2.51
13.41,2.84
14.12,3.17
14.82,3.5
16.87,3.57
18.91,3.64
20.96,3.71
21.96,4.11
22.96,4.51
23.96,4.91
24.04,4.75
24.13,4.59
24.21,4.43
23.06,3.53
21.91,2.63
20.76,1.72
19.16,1.87
17.56,2.01
15.96,2.15
15.65,2.16
15.33,2.17
15.01,2.18
14.48,1.95
13.96,1.72
13.43,1.49
13.66,1.66
13.89,1.82
14.12,1.99
15.25,2.58
16.38,3.18
17.51,3.78
17.64,4.43
17.77,5.09
17.9,5.74
17.51,6.11
17.11,6.48
16.72,6.86
15.99,6.26
15.27,5.66
14.55,5.06
13.54,4.4
12.54,3.74
11.53,3.08
11.27,3.24
11,3.4
10.73,3.56
10.33,3.39
9.93,3.23
9.53,3.06
10.13,3.1
10.73,3.14
11.33,3.17
12.79,2.97
14.24,2.76
15.7,2.55
16.23,2.58
16.76,2.61
17.28,2.63
17.32,2.78
17.35,2.92
17.39,3.06
16.31,3.77
15.23,4.49
14.15,5.2
12.75,4.47
11.35,3.75
9.94,3.02
9.34,2.65
8.74,2.28
8.14,1.9
7.65,2.02
7.17,2.14
6.68,2.26
7.38,1.92
8.08,1.58
8.77,1.24
10.04,1.59
11.3,1.94
12.57,2.29
13.47,2.46
14.37,2.63
15.27,2.8
15.8,3.02
16.32,3.24
16.85,3.46
16.23,3.3
15.62,3.13
15.01,2.97
14.16,3.37
13.31,3.78
12.45,4.19
12.08,4.26
11.71,4.32
11.34,4.39
10.06,4.5
8.77,4.62
7.49,4.73
7.85,4.67
8.21,4.6
8.57,4.54
10.18,4.41
11.78,4.29
13.38,4.17
14.14,3.7
14.9,3.24
15.66,2.77
15.3,2.96
14.95,3.15
14.59,3.34
13.62,3.41
12.66,3.48
11.69,3.54
10.08,2.9
8.48,2.25
6.87,1.6
6.55,1.65
6.22,1.7
5.9,1.75
6.45,2.1
6.99,2.45
7.54,2.8
8.43,3.27
9.32,3.75
10.21,4.22
10.88,4.58
11.55,4.94
12.22,5.3
12.21,5.29
12.2,5.29
12.18,5.28
12.58,5.23
12.97,5.18
13.37,5.13
12.99,4.9
12.62,4.66
12.24,4.43
10.68,3.49
9.12,2.54
7.55,1.6
7.08,1.79
6.6,1.99
6.13,2.18
6.18,2.21
6.23,2.24
6.28,2.28
7.46,2.45
8.64,2.62
9.82,2.79
11.42,3.26
13.01,3.73
14.6,4.21
14.99,4.47
15.38,4.73
15.76,4.99
15.91,5.14
16.07,5.3
16.22,5.45
15.48,4.88
14.74,4.32
14,3.75
12.98,3.26
11.96,2.76
10.94,2.26
9.92,2.11
8.89,1.95
7.86,1.79
8.09,2.11
8.32,2.44
8.55,2.76
9.23,3.16
9.91,3.57
10.59,3.97
11.91,4.3
13.22,4.63
14.53,4.95
15.26,5.69
15.99,6.42
16.72,7.16
16.51,6.88
16.3,6.61
16.09,6.33
15.08,6.35
14.07,6.38
13.06,6.4
12.46,5.91
11.86,5.42
11.26,4.92
10.93,5.15
10.59,5.37
10.25,5.6
9.66,5.59
9.07,5.57
8.48,5.56
8.85,5.92
9.23,6.29
9.6,6.65
10.41,6.98
11.21,7.31
12.02,7.64
12.51,7.7
13.01,7.75
13.5,7.81
13.39,7
13.27,6.19
13.16,5.38
12.56,5.16
11.97,4.95
11.37,4.73
10.46,4.38
9.56,4.02
8.65,3.67
8.3,3.93
7.95,4.18
7.6,4.44
7.48,4.13
7.36,3.83
7.24,3.52
7.77,3.72
8.3,3.93
8.83,4.14
9.41,4.29
9.98,4.43
10.56,4.58
11.19,4.71
11.82,4.84
12.45,4.97
12.73,4.92
13.02,4.88
13.3,4.84
12.88,4.46
12.46,4.07
12.04,3.68
10.69,3.12
9.34,2.55
7.99,1.99
7.57,1.94
7.14,1.89
6.72,1.85
6.79,1.82
6.85,1.79
6.92,1.77
8.02,1.86
9.12,1.96
10.22,2.06
11.55,2.17
12.87,2.28
14.2,2.39
14.69,3.13
15.19,3.87
15.68,4.61
15.73,4.4
15.78,4.2
15.83,4
15.38,3.81
14.93,3.61
14.48,3.42
12.83,3.11
11.18,2.8
9.52,2.48
8.91,2.36
8.29,2.24
7.68,2.12
7.97,2.11
8.25,2.09
8.54,2.07
9.59,2.29
10.64,2.52
11.68,2.74
13.47,2.86
15.25,2.98
17.03,3.1
17.59,3.04
18.15,2.98
18.7,2.92
18.61,2.96
18.52,2.99
18.43,3.02
17.94,2.97
17.45,2.92
16.96,2.87
15.5,2.45
14.04,2.03
12.58,1.61
12.02,1.57
11.45,1.53
10.88,1.49
10.57,1.47
10.26,1.45
9.95,1.43
10.8,1.53
11.65,1.63
12.5,1.72
13.45,1.82
14.39,1.92
15.33,2.01
15.73,2.86
16.13,3.71
16.52,4.55
16.45,4.43
16.38,4.3
16.31,4.18
15.6,3.83
14.89,3.49
14.18,3.14
12.82,3.23
11.47,3.31
10.11,3.39
9.27,3.18
8.42,2.96
7.57,2.74
7.32,2.41
7.08,2.07
6.83,1.74
7.84,1.64
8.85,1.54
9.86,1.43
11.56,1.25
13.26,1.07
14.96,0.88
15.8,0.86
16.65,0.83
17.49,0.8
18,1.17
18.5,1.54
19.01,1.92
18.35,2.1
17.7,2.28
17.04,2.46
15.68,2.29
14.32,2.13
12.95,1.97
12.76,1.64
12.56,1.3
12.36,0.97
12.15,1.36
11.93,1.75
11.72,2.14
11.78,2.13
11.84,2.12
11.9,2.11
12.19,1.92
12.47,1.72
12.75,1.53
13.36,1.96
13.98,2.4
14.59,2.83
14.96,3.27
15.34,3.72
15.71,4.17
14.98,4.51
14.26,4.85
13.54,5.19
12.67,4.58
11.8,3.97
10.92,3.37
